pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
144,-0.03,-2.037907e-06,-0.0298994012,0.03,2.046612e-06,0.0301364506,0.0600358518,4.084519e-06,14698.38965126616,0.599094264629457
145,-0.03,-2.037572e-06,-0.0298992338,0.03,2.046083e-06,0.0301350111,0.060034244900000006,4.083655e-06,14701.105970019507,2.7163187533478776
146,-0.03,-2.036314e-06,-0.0299002955,0.03,2.047332e-06,0.030136221,0.0600365165,4.083646e-06,14701.694637586117,0.588667566609729
147,-0.03,-2.034943e-06,-0.0298992912,0.03,2.048343e-06,0.0301349489,0.0600342401,4.083286e-06,14702.433309839182,0.7386722530645784
148,-0.03,-2.034288e-06,-0.0299006828,0.03,2.048866e-06,0.0301357141,0.0600363969,4.083153999999999e-06,14703.436828490918,1.003518651736158
149,-0.03,-2.034245e-06,-0.0298985499,0.03,2.04741e-06,0.0301346954,0.0600332453,4.0816550000000005e-06,14708.064571846468,4.627743355549683
150,-0.03,-2.036565e-06,-0.029901448,0.03,2.049636e-06,0.030135365,0.060036813,4.086201e-06,14692.574594348149,15.489977498318694
151,-0.03,-2.035923e-06,-0.0299002572,0.03,2.049532e-06,0.0301373784,0.0600376356,4.085455e-06,14695.458792227548,2.8841978793989256
152,-0.03,-2.038067e-06,-0.029900195,0.03,2.048605e-06,0.0301353076,0.0600355026,4.086672e-06,14690.560583281456,4.898208946091472
153,-0.03,-2.035846e-06,-0.0298982629,0.03,2.047652e-06,0.0301362067,0.0600344696,4.083498e-06,14701.726216101979,11.16563282052266
154,-0.03,-2.03624e-06,-0.0299013619,0.03,2.047896e-06,0.0301364075,0.060037769399999996,4.084136e-06,14700.237553303808,1.4886627981704805
155,-0.03,-2.036811e-06,-0.029901625,0.03,2.048235e-06,0.030136551,0.060038176,4.085046e-06,14697.06240762038,3.175145683428127
156,-0.03,-2.03526e-06,-0.0298998985,0.03,2.048125e-06,0.0301383492,0.060038247700000005,4.0833849999999995e-06,14703.058295997074,5.9958883766939834
157,-0.03,-2.033429e-06,-0.0299008741,0.03,2.046572e-06,0.0301364123,0.0600372864,4.080001e-06,14715.017569848635,11.959273851560283
158,-0.03,-2.034353e-06,-0.0299000277,0.03,2.048252e-06,0.0301349585,0.0600349862,4.082605e-06,14705.068504055622,9.949065793012778
159,-0.03,-2.034613e-06,-0.0299010606,0.03,2.049081e-06,0.0301343607,0.0600354213,4.083694e-06,14701.253644371984,3.814859683638133
160,-0.03,-2.033573e-06,-0.0299007785,0.03,2.05025e-06,0.0301359389,0.060036717399999995,4.083823e-06,14701.106634641117,0.14700973086655722
161,-0.03,-2.035304e-06,-0.0299006063,0.03,2.047513e-06,0.0301343511,0.060034957400000005,4.082817e-06,14704.297890402633,3.191255761516004
162,-0.03,-2.03551e-06,-0.029900152,0.03,2.047581e-06,0.0301344563,0.0600346083,4.083091e-06,14703.22564449335,1.0722459092830832
163,-0.03,-2.036361e-06,-0.0299001998,0.03,2.047574e-06,0.0301344467,0.0600346465,4.083935e-06,14700.196379227387,3.0292652659627493
164,-0.03,-2.033841e-06,-0.0298991907,0.03,2.048754e-06,0.0301352167,0.0600344074,4.082595e-06,14704.962750407523,4.766371180136048
165,-0.03,-2.034367e-06,-0.0298986551,0.03,2.047888e-06,0.0301368332,0.0600354883,4.082255e-06,14706.45226719056,1.489516783036379
166,-0.03,-2.033753e-06,-0.0298988081,0.03,2.047722e-06,0.0301347002,0.060033508299999996,4.081475e-06,14708.77766003712,2.325392846560135
167,-0.03,-2.034475e-06,-0.0299006589,0.03,2.048512e-06,0.0301368953,0.0600375542,4.082987e-06,14704.321664506891,4.4559955302283925
168,-0.03,-2.034939e-06,-0.0298986264,0.03,2.049869e-06,0.0301341598,0.0600327862,4.084808e-06,14696.599252645414,7.722411861477667
169,-0.03,-2.03537e-06,-0.0298998603,0.03,2.04803e-06,0.0301365606,0.0600364209,4.083400000000001e-06,14702.556913356515,5.957660711101198
170,-0.03,-2.036795e-06,-0.0298987603,0.03,2.048828e-06,0.0301347433,0.060033503599999996,4.085623e-06,14693.843166635785,8.713746720730342
171,-0.03,-2.036195e-06,-0.0299015054,0.03,2.046941e-06,0.0301363645,0.0600378699,4.083136e-06,14703.862398901236,10.019232265451137
172,-0.03,-2.035125e-06,-0.029899602,0.03,2.047167e-06,0.0301347146,0.0600343166,4.082292e-06,14706.031954598055,2.169555696818861
173,-0.03,-2.036073e-06,-0.0298999703,0.03,2.046235e-06,0.030134552,0.0600345223,4.082308e-06,14706.024704652367,0.007249945687362924
174,-0.03,-2.033641e-06,-0.0299009602,0.03,2.048434e-06,0.0301358241,0.0600367843,4.082074999999999e-06,14707.418237048561,1.3935323961941322
175,-0.03,-2.034277e-06,-0.0298990951,0.03,2.047223e-06,0.0301366562,0.060035751299999995,4.0815e-06,14709.237118706358,1.8188816577967373
176,-0.03,-2.035412e-06,-0.0298987077,0.03,2.048621e-06,0.0301358767,0.0600345844,4.0840330000000005e-06,14699.828429398096,9.408689308262183
177,-0.03,-2.036669e-06,-0.0298993007,0.03,2.04905e-06,0.030134748,0.060034048699999995,4.085719e-06,14693.631329026786,6.197100371309716
