pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
168,-0.03,-8.560255e-07,-0.0299033479,0.03,8.576699e-07,0.0301340454,0.0600373933,1.7136954e-06,35033.876673765946,455.0024984678821
169,-0.03,-8.543668e-07,-0.0298990294,0.03,8.687048e-07,0.030135748,0.0600347774,1.7230716e-06,34841.719519954946,192.15715381100017
170,-0.03,-8.61607e-07,-0.0299008276,0.03,8.680549e-07,0.0301351215,0.0600359491,1.7296619e-06,34709.64417959371,132.07534036123252
171,-0.03,-8.687157e-07,-0.0299005358,0.03,8.651557e-07,0.0301343467,0.0600348825,1.7338714e-06,34624.76080982707,84.88336976664141
172,-0.03,-8.618661e-07,-0.0299015114,0.03,8.646015e-07,0.0301334668,0.060034978200000005,1.7264676000000001e-06,34773.30139297141,148.54058314433496
173,-0.03,-8.644796e-07,-0.0299004928,0.03,8.636031e-07,0.0301341937,0.060034686500000004,1.7280827e-06,34740.63278337316,32.668609598244075
174,-0.03,-8.606326e-07,-0.0299017649,0.03,8.647845e-07,0.0301344424,0.0600362073,1.7254170999999998e-06,34795.18505989074,54.55227651757741
175,-0.03,-8.678156e-07,-0.0298995794,0.03,8.688241e-07,0.030134165,0.060033744400000005,1.7366397e-06,34568.91167465537,226.27338523537037
176,-0.03,-8.497399e-07,-0.0299006363,0.03,8.551568e-07,0.0301335481,0.060034184399999996,1.7048966999999999e-06,35212.79875783677,643.8870831813983
177,-0.03,-8.583714e-07,-0.0298991011,0.03,8.622235e-07,0.0301330937,0.060032194799999994,1.7205949e-06,34890.37123148511,322.4275263516611
