nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.7,2,17,2026-05-27T21:50:00.786,16679.2556269,16679.4364229,0.1807959999969171,33893.927436085374,False,-0.03,-0.0298669235,-9.603098e-07,31101.34198359738,0.03,0.0301332084,8.099227e-07,37205.04240713342
0.7,2,18,2026-05-27T21:50:00.982,16679.4364822,16679.6328632,0.19638100000156555,35485.32360600636,False,-0.03,-0.029865557,-8.990185e-07,33220.1806748137,0.03,0.0301329146,7.917783e-07,38057.262493806666
0.7,2,19,2026-05-27T21:50:01.165,16679.6329246,16679.8161035,0.183178900002531,33139.65748482727,False,-0.03,-0.0298681941,-1.019081e-06,29308.95002458097,0.03,0.030135053,7.915366e-07,38071.58506631279
0.7,2,20,2026-05-27T21:50:01.359,16679.8161569,16680.0102538,0.19409689999883994,35744.19871858453,False,-0.03,-0.029865229,-9.252742e-07,32277.166055208283,0.03,0.0301371026,7.533851e-07,40002.25462383049
0.7,2,21,2026-05-27T21:50:01.545,16680.0103172,16680.1960534,0.18573619999733637,34251.01270879243,False,-0.03,-0.0298636167,-9.878951e-07,30229.542286422926,0.03,0.0301309401,7.63719e-07,39452.91409536754
0.7,2,22,2026-05-27T21:50:01.746,16680.196107,16680.3966253,0.2005183000001125,33297.791139684145,False,-0.03,-0.029867306,-9.377168e-07,31851.09406166126,0.03,0.0301299427,8.641219e-07,34867.699453051704
0.7,2,23,2026-05-27T21:50:01.926,16680.3966779,16680.5764294,0.17975149999983842,34269.519124209284,False,-0.03,-0.0298685836,-9.086307e-07,32872.08279447305,0.03,0.0301311793,8.421894e-07,35777.20082917216
0.7,2,24,2026-05-27T21:50:02.121,16680.5765023,16680.7717189,0.19521660000100383,33239.42134953553,False,-0.03,-0.0298655147,-9.240749e-07,32319.365778683095,0.03,0.0301362312,8.810632e-07,34204.39214803206
0.7,2,25,2026-05-27T21:50:02.301,16680.7717729,16680.9516819,0.17990899999858811,35345.113107249614,False,-0.03,-0.0298617367,-1.015352e-06,29410.230836202616,0.03,0.030135794,6.821254e-07,44179.25794875839
0.7,2,26,2026-05-27T21:50:02.495,16680.9517347,16681.1463902,0.19465549999949872,35038.67908963512,False,-0.03,-0.0298663687,-1.002254e-06,29799.201300269197,0.03,0.0301289074,7.100045e-07,42434.8118920373
0.7,2,27,2026-05-27T21:50:02.677,16681.1464424,16681.3279009,0.18145849999928032,36821.79089285167,False,-0.03,-0.0298844324,-8.145306e-07,36689.14636233433,0.03,0.0301145807,8.149125e-07,36954.37326093292
0.7,2,28,2026-05-27T21:50:02.874,16681.3279557,16681.5249814,0.19702570000299602,35689.093681913066,False,-0.03,-0.029884364,-8.680721e-07,34426.13119348036,0.03,0.0301133851,8.130507e-07,37037.52435118745
0.7,2,29,2026-05-27T21:50:03.058,16681.5250375,16681.7094769,0.18443939999997383,39945.567174818665,False,-0.03,-0.0298719573,-7.581054e-07,39403.43559088222,0.03,0.0301262087,7.438927e-07,40498.05664177105
0.7,2,30,2026-05-27T21:50:03.257,16681.7095296,16681.9075384,0.1980087999982061,33305.19610900095,False,-0.03,-0.029883653,-9.25881e-07,32275.911267214684,0.03,0.0301129634,8.755381e-07,34393.664193482844
0.7,2,31,2026-05-27T21:50:03.437,16681.907602,16682.0877099,0.18010789999971166,36016.86846911397,False,-0.03,-0.0298843909,-8.509442e-07,35119.095823204385,0.03,0.0301144391,8.149094e-07,36954.340077559544
0.7,2,32,2026-05-27T21:50:03.632,16682.0877646,16682.2834153,0.19565069999953266,33866.457099716936,False,-0.03,-0.0298854225,-8.859147e-07,33733.972920869244,0.03,0.0301045054,8.854524e-07,33999.0104493477
0.7,2,33,2026-05-27T21:50:03.810,16682.2834685,16682.4615013,0.17803279999861843,35074.14503202997,False,-0.03,-0.0298947072,-6.994575e-07,42739.8479535926,0.03,0.0301053525,1.011206e-06,29771.7304881498
0.7,2,34,2026-05-27T21:50:04.011,16682.461555,16682.661362,0.19980699999723583,43029.212529080854,False,-0.03,-0.0298932452,-7.173069e-07,41674.27526488314,0.03,0.0301061724,6.770811e-07,44464.64744031402
0.7,2,35,2026-05-27T21:50:04.191,16682.6614149,16682.8414794,0.18006449999666074,34924.05213077733,False,-0.03,-0.029895855,-7.235534e-07,41318.10451032363,0.03,0.0301056258,9.945027e-07,30272.04028707011
0.7,2,36,2026-05-27T21:50:04.390,16682.8415333,16683.0408314,0.19929810000030557,43066.15937954275,False,-0.03,-0.0298951171,-7.100344e-07,42103.75877563115,0.03,0.0301115252,6.833251e-07,44066.17757784692
0.7,2,37,2026-05-27T21:50:04.570,16683.0408881,16683.2214835,0.1805954000010388,35058.68108211453,False,-0.03,-0.0298943217,-7.257768e-07,41189.41484489446,0.03,0.0301046248,9.856095e-07,30544.170688289832
0.7,2,38,2026-05-27T21:50:04.771,16683.2215482,16683.4214677,0.1999195000025793,34721.14290692698,False,-0.03,-0.0298939527,-1.008863e-06,29631.330220257852,0.03,0.0301252302,7.197432e-07,41855.52597092963
0.7,2,39,2026-05-27T21:50:04.950,16683.4215252,16683.6012263,0.1797011000016937,35160.35206843546,False,-0.03,-0.0298960433,-7.084711e-07,42197.97151923346,0.03,0.0301078154,9.981062e-07,30164.94176671781
0.7,2,40,2026-05-27T21:50:05.150,16683.6012809,16683.8013806,0.200099700003193,42742.57276708215,False,-0.03,-0.0298953533,-7.152619e-07,41796.37318861804,0.03,0.0301048025,6.884944e-07,43725.55898784362
0.7,2,41,2026-05-27T21:50:05.332,16683.8014453,16683.9830762,0.18163089999870863,35263.24680859041,False,-0.03,-0.0298983662,-7.078702e-07,42237.07425457379,0.03,0.0301030603,9.936585e-07,30295.177165998182
0.7,2,42,2026-05-27T21:50:05.530,16683.9831333,16684.1805669,0.19743359999847598,42742.6251257358,False,-0.03,-0.0298972389,-6.976563e-07,42853.82200375744,0.03,0.0301106627,7.062795e-07,42632.78588717356
0.7,2,43,2026-05-27T21:50:05.709,16684.1806189,16684.3593893,0.17877039999802946,35857.33979825894,False,-0.03,-0.0298851717,-7.283016e-07,41034.06020253148,0.03,0.0301125484,9.449324e-07,31867.410197808862
0.7,2,44,2026-05-27T21:50:05.906,16684.3594421,16684.5562989,0.19685679999747663,40291.415320358996,False,-0.03,-0.0298854108,-7.710856e-07,38757.57866571494,0.03,0.0301311383,7.184761e-07,41937.56521615681
0.7,2,45,2026-05-27T21:50:06.086,16684.5563546,16684.7372773,0.18092269999760902,34980.83257418118,False,-0.03,-0.0298679278,-9.080903e-07,32890.922631813155,0.03,0.0301266907,8.069809e-07,37332.59448891541
0.7,2,46,2026-05-27T21:50:06.283,16684.7373294,16684.9338968,0.19656740000209538,35515.143465861926,False,-0.03,-0.029871091,-8.582156e-07,34806.04524084624,0.03,0.0301349438,8.313745e-07,36247.13507570896
0.7,2,47,2026-05-27T21:50:06.462,16684.9339548,16685.1132234,0.17926860000079614,34715.11705477406,False,-0.03,-0.0298636236,-1.019619e-06,29289.00265687477,0.03,0.0301366586,7.087428e-07,42521.29065720315
0.7,2,48,2026-05-27T21:50:06.657,16685.1132758,16685.3087971,0.19552130000010948,29909.6500816917,False,-0.03,-0.029861656,-1.019017e-06,29304.37470621197,0.03,0.0301229877,9.865111e-07,30534.869501214936
0.7,2,49,2026-05-27T21:50:06.836,16685.3089314,16685.4871259,0.17819450000024517,34565.03724800621,False,-0.03,-0.0298816245,-9.234747e-07,32357.816083104386,0.03,0.0301102526,8.121484e-07,37074.816129663
0.7,2,50,2026-05-27T21:50:07.033,16685.4871816,16685.6843551,0.19717349999700673,34582.586835347516,False,-0.03,-0.0298915856,-8.463785e-07,35317.042670625495,0.03,0.0301053881,8.885112e-07,33882.95848155882
0.7,2,51,2026-05-27T21:50:07.215,16685.6844127,16685.865911,0.18149830000038492,37639.7157258984,False,-0.03,-0.0298931023,-7.192276e-07,41562.785271310495,0.03,0.0301039534,8.747551e-07,34414.150200438955
0.7,2,52,2026-05-27T21:50:07.416,16685.8659641,16686.0670752,0.20111109999925247,37012.19689965625,False,-0.03,-0.0298919682,-8.016095e-07,37289.937556877754,0.03,0.0301057912,8.194172e-07,36740.49214490494
0.7,2,53,2026-05-27T21:50:07.596,16686.0671318,16686.2471172,0.17998540000189678,35254.41387168466,False,-0.03,-0.0298896112,-8.468591e-07,35294.668499163556,0.03,0.0301101296,8.550481e-07,35214.54477239351
